TAG,X-min,Y-min,Z-min,X-nor,Y-nor,Length,thickness
14,4.716,-7.416,0,-1,0,5.633,0.1
1,-14.462,-7.416,0,1,0,7.5,0.1
15,-14.362,-0.015,0,0,1,26.985,0.1
3,-14.362,-1.983,0,0,-1,19.078,0.1
23,4.816,-1.883,0,0,1,7.807,0.1
24,12.623,-1.833,0,-1,0,1.917,0.1
4,-6.903,-7.216,0,-1,0,5.233,0.1
9,-3.103,-7.216,0,-1,0,5.233,0.1
10,0.896,-7.216,0,-1,0,5.233,0.1
2,-14.362,-7.416,0,0,1,19.078,0.1
25,-0.103,-1.783,0,-1,0,1.767,0.1
8,-6.753,0.084,0,1,0,5.31,0.1
6,-6.653,5.294,0,0,-1,3.64,0.1
5,-3.113,0.084,0,-1,0,5.21,0.1
13,-2.823,0.084,0,1,0,5.31,0.1
12,-2.723,5.294,0,0,-1,3.66,0.1
11,0.836,0.084,0,-1,0,5.21,0.1
16,12.623,-7.133,0,-1,0,5.3,0.1
17,9.118,-7.133,0,0,1,3.504,0.1
18,9.118,-7.033,0,1,0,2.3,0.1
19,9.218,-4.833,0,0,-1,0.8,0.1
20,9.918,-4.733,0,1,0,0.3,0.1
21,10.018,-4.533,0,0,-1,0.8,0.1
22,10.718,-4.433,0,1,0,2.55,0.1
115,-14.362,-0.015,0,0,-1,26.985,0.1
103,-14.362,-1.983,0,0,1,19.078,0.1
104,-6.903,-7.216,0,1,0,5.233,0.1
109,-3.103,-7.216,0,1,0,5.233,0.1
110,0.896,-7.216,0,1,0,5.233,0.1
